accession,name,description,Study Disease/Focus,Study Design,Study Molecular Data Type,Study Content,NIH Institute,Study Consent
phs003079.v1.p1,Spatiotemporal Evolution of the ccRCC Microenvironment Links    Intra-Tumoral Heterogeneity to Immune Escape CINOMA,"We utilize temporal multi-regional multi-omics profiling to uncover the mechanisms of immune escape in clear cell renal cell carcinoma (ccRCC) in 29 patients including 17 patients from a neoadjuvant nivolumab   Principal Investigator: A. Ari Hakimi, MD, Memorial Sloan Kettering Cancer Center, New York, NY, USA","Carcinoma, Renal Cell",Clinical Trial,"AMPLICON, RNA-Seq, WXS","4 phenotype datasets, 28 variables, 449 samples sequenced, 29 subjects, 449 samples",NCI,GRU --- General Research Use
phs001736.v2.p1,NCI Expanded Genome-Wide Association Study of Renal Cell Carcinoma,The National Cancer Institute (NCI) expanded genome-wide association study (GWAS) of renal cell carcinoma (RCC) was a 2nd GWAS of this cancer performed by NCI to further investigate common genetic   under the Women's Health Initiative (phs000200). Cases included adult patients diagnosed with kidney cancer (International Classification of Disease for,"Carcinoma, Renal Cell",Case Set,"SNP/CNV Genotypes (imputed), SNP/CNV Genotypes (NGS)","4 phenotype datasets, 19 variables, 3 analyses, 2 molecular datasets, 2385 subjects, 2385 samples",NCI,"GRU --- General Research Use, GRU-IRB-NPU --- General Research Use (IRB, NPU), DS-RCC --- Disease-Specific (Kidney Cancer), CADM --- Cancer in all age groups, other diseases in adults, and methods"
phs002252.v1.p1,Cellular and Molecular Characterization of Renal Cell Carcinoma,"We are performing a comprehensive cellular and molecular characterization of renal cell carcinoma. This work includes an initial cohort of patients whose tumors (and adjacent normal tissue) underwent single cell   Investigator: Catherine J. Wu, MD, Dana-Farber Cancer Institute, Boston, MA, USA Funding Source: P50 CA101942-14, DF/HCC Kidney Cancer SPORE, Boston, MA, USA","Carcinoma, Renal Cell",Tumor vs. Matched-Normal,"OTHER, WXS","4 phenotype datasets, 21 variables, 52 samples sequenced, 13 subjects, 53 samples",NCI,"DS-RCCA-MDS --- Disease-Specific (Renal Cell Carcinoma, MDS)"
phs002083.v1.p1,Role of Tobacco Smoke in Clear Cell Renal Cell Carcinoma,"Background. Clear cell renal cell carcinoma (ccRCC) is the most common histologically defined renal cancer. However, it is not a uniform disease and includes several genetic subtypes with different prognoses.   effects on tumor pathobiology. Methods. We investigated the landscape of ccRCCs and paired normal kidney tissues (NKTs) using integrated transcriptomic","Carcinoma, Renal Cell",Collection,RNA-Seq,"4 phenotype datasets, 22 variables, 50 samples sequenced, 32 subjects, 50 samples",NCI,GRU --- General Research Use
phs002053.v1.p1,Neoadjuvant Pazopanib in Renal Cell Carcinoma,"This study examined the tissue of patients who received oral pazopanib prior to nephrectomy. Patients were consented and underwent a pre-treatment biopsy. Pretreatment samples for analysis were preserved as available.   with any of the following anti-cancer therapies for treatment of their RCC: Radiation therapy, surgery or tumor embolization Chemotherapy, immunotherapy","Carcinoma, Renal Cell",Prospective Longitudinal Cohort,"OTHER, RNA-Seq","4 phenotype datasets, 10 variables, 36 samples sequenced,  SRA, 22 subjects, 36 samples",NCI,"DS-KD-IRB --- Disease-Specific (Kidney Disease, IRB)"
phs001493.v2.p1,Whole Exome Predictors Immune Checkpoint Therapy Response in Renal Cell    Carcinoma,"Immune checkpoint therapies, including monoclonal antibodies to programmed cell death-1 (PD-1) and cytotoxic % lymphocyte associated protein-4 (CTLA-4), yield durable clinical responses across many tumor types, including metastatic melanoma, non-small  cell lung cancer (NSCLC), and renal cell carcinoma (RCC). However, predictors of response to these therapies in RCC are still unknown. Genomic","Carcinoma, Renal Cell",Prospective Longitudinal Cohort,"RNA-Seq, WXS","4 phenotype datasets, 17 variables, 143 samples sequenced,  SRA, 71 subjects, 143 samples",NCI,"DS-CA-MDS --- Disease-Specific (Cancer, MDS), GRU --- General Research Use"
phs001573.v1.p1,Intra-Tumor Heterogeneity and Clonal Evolution of Papillary Renal Cell    Carcinoma,"Limited knowledge of intratumor heterogeneity (ITH), and clonal evolution of papillary renal cell carcinoma (pRCC) and rare kidney tumor subtypes hinders understanding of tumorigenesis and therapeutic efficacy. We conducted an  integrative genomic and epigenomic ITH analysis and studied clonal evolutionary history of pRCC and rare kidney tumor subtypes. We dissected multiple","Carcinoma, Renal Cell",Case Set,"Methylation (CpG), SNP Genotypes (Array), Targeted-Capture, WGS","4 phenotype datasets, 13 variables, 1 molecular datasets, 263 samples sequenced,  SRA, 39 subjects, 502 samples",NCI,GRU --- General Research Use
phs001304.v1.p1,NCI Biospecimen Pre-analytical Variables (BPV) Analysis,The Biospecimen Pre-analytical Variables (BPV) Program is a National Cancer Institute-sponsored study to systematically assess the effects of pre-analytical factors on the molecular profile of biospecimens. A robust biospecimen collection   to use aCGH to evaluate the effect of variation in cold ischemia time and time in formalin fixation on CNV in DNA extracted from kidney cancer,"Carcinoma, Renal Cell",Case Set,Not Provided,"3 phenotype datasets, 466 variables, 341 samples sequenced,  SRA, 153 subjects, 1554 samples, 7 substudies",NCI,GRU-PUB --- General Research Use (PUB)
phs001640.v1.p1,TumorStorage,This study phs001640 Tumor Storage contains molecular data and phenotype of subjects available from the phs001640 study. Summary level phenotypes for the NCI Biospecimen PV cohort study participants can be   for three-time points. - frozen tumor tissue: 100 frozen tumor samples from 20 kidney cancer patients; 4 experimental pieces for each donor that were,"Carcinoma, Renal Cell",Case Set,"Legacy Genotypes, Legacy Genotypes","1 phenotype datasets, 156 variables, 1 molecular datasets,  SRA, 53 subjects, 340 samples",NCI,GRU-PUB --- General Research Use (PUB)
phs001639.v1.p1,NGS,"This study phs001639 NGS contains molecular data and phenotype of subjects available from the phs001639 study. Summary level phenotypes for the NCI Biospecimen PV cohort study participants can be viewed  , and sample number: - RNA - Kidney, Ovary, and Colon - 150 RNA samples from Module-II (Delay to fixation) Study design: miRNA analysis - 150 RNA samples","Carcinoma, Renal Cell",Case Set,"RNA-Seq, WXS, miRNA-Seq, RNA-Seq, WXS, miRNA-Seq","1 phenotype datasets, 129 variables, 341 samples sequenced,  SRA, 35 subjects, 341 samples",NCI,GRU-PUB --- General Research Use (PUB)
