accession,name,description,Study Disease/Focus,Study Design,Study Molecular Data Type,Study Content,NIH Institute,Study Consent
phs002377.v1.p1,A Phase I/IB Study of Ipilimumab or Nivolumab in Patients With Relapsed    Hematologic Malignancies After Allogeneic Hematopoietic Cell    Transplantation,"Relapse after allogeneic hematopoietic stem cell transplantation (HSCT) is characterized by poor outcomes and novel therapeutic options are urgently needed. Immune checkpoint blockade using CTLA-4 and PD-1 blocking antibodies are   lymphoma (NHL) Hodgkin lymphoma (HL) Multiple myeloma (MM) Acute leukemia (acute myeloid leukemia [AML], acute lymphoblastic leukemia [ALL]) Myelodysplastic",Hematologic Neoplasms,Clinical Trial,RNA-Seq,"3 phenotype datasets, 13 variables, 78 samples sequenced, 36 subjects, 78 samples",NCI,HMB-COL --- Health/Medical/Biomedical (COL)
phs002928.v1.p1,Adoptive Cell Therapy of Autologous T cell Receptor-Engineered T Cells    Targeting the p53 Neoantigens in Human Solid Tumors,"Adoptive T cell therapy (ACT) using T cell receptor (TCR)-engineered T cells can mediate regression of advanced human cancers. How TCR-transduced T cells change post-ACT in vivo is currently not  ) endocrine tumors including neuroendocrine tumors, and (5) multiple myeloma with solid masses (plasmacytomas). Evaluable solid cancer that has recurred","Immunotherapy, Adoptive",Clinical Trial,"RNA-Seq, WXS","4 phenotype datasets, 15 variables, 194 samples sequenced, 23 subjects, 194 samples",NCI,GRU --- General Research Use
phs002022.v1.p1,Genomic Analysis of Primary Plasma Cell Leukemia,Primary plasma cell leukemia (pPCL) is a rare and aggressive form of multiple myeloma (MM) that is characterized by poor overall survival despite advances in anti-MM therapy. The disease biology   account for the poor outcome in this group. Inclusion Criteria Newly diagnosed pPCL patients that presented to the Myeloma Center UAMS Available sequencing,"Leukemia, Plasma Cell",Prospective Longitudinal Cohort,WXS,"5 phenotype datasets, 16 variables, 46 samples sequenced,  SRA, 23 subjects, 46 samples",NCI,GRU --- General Research Use
phs003308.v1.p1,Whole Exome Sequencing Analysis of Carfilzomib-Related Cardiotoxicity in    Multiple Myeloma Patients,This study investigated the contribution of germline genetic variants in protein-coding genes in carfilzomib-related cardiovascular adverse events among patients with multiple myeloma using whole-exome sequencing (WES) analysis. We analyzed 247  patients with multiple myeloma who had been treated with carfilzomib at the Moffitt Cancer Center. We identified a missense mutation in the TMSB10,Multiple Myeloma,Case Set,WXS,"4 phenotype datasets, 14 variables, 247 samples sequenced, 247 subjects, 247 samples",NHLBI,GRU --- General Research Use
phs003084.v1.p1,Genome Sequencing of Circulating Tumor Cells for Minimally Invasive    Molecular Characterization of Multiple Myeloma Pathology,"&#x0200b;&#x0200b;Multiple Myeloma (MM) develops from well-defined precursor stages known as Monoclonal Gammopathy of Undetermined Significance (MGUS) and Smoldering MM (SMM); however, invasive bone marrow (BM) biopsy limits screening and monitoring  strategies for patients. In this study, we enumerated circulating tumor cells (CTCs) from patients with precursor and overt diseases, and developed a",Multiple Myeloma,Tumor vs. Matched-Normal,WGS,"4 phenotype datasets, 15 variables, 135 samples sequenced, 51 subjects, 135 samples",NCI,HMB --- Health/Medical/Biomedical
phs002756.v1.p1,Characterizing the Role of the Immune Microenvironment in Multiple    Myeloma Progression at a Single Cell Level,"The plasma cell disease multiple myeloma (MM) is highly dependent on its bone marrow microenvironment (BMME). Early alterations within the bone marrow microenvironment that contribute to the progression of multiple  myeloma (MM) from its precursor stages could hold the key to identifying novel therapeutic approaches, yet the intrinsic variability in cellular",Multiple Myeloma,Case Set,RNA-Seq,"4 phenotype datasets, 16 variables, 20 samples sequenced, 20 subjects, 20 samples",NIGMS,GRU --- General Research Use
phs001323.v3.p1,Multiple Myeloma Genomic Study (MMGS),"Multiple Myeloma (MM) is a plasma cell dyscrasia characterized by bone marrow (BM) infiltration and lytic bone lesions. Recent studies of massive parallel sequencing of tumor cells obtained from the   progresses from precursor states of monoclonal gammopathy of undetermined significance (MGUS)/smoldering multiple myeloma (SMM) to overt MM. However, some",Multiple Myeloma,Prospective Longitudinal Cohort,"RNA-Seq, Targeted-Capture, WXS","4 phenotype datasets, 15 variables, 1078 samples sequenced, 883 subjects, 1078 samples",NCI,DS-PCD --- Disease-Specific (plasma cell dyscrasias)
phs002625.v1.p1,The Spatio-Temporal Evolution of Multiple Myeloma from Baseline to    Relapse-Refractory States,"In multiple myeloma, the spatio-temporal evolution patterns of cancer cells in the bone marrow remain largely unknown. Here, we applied spatial-longitudinal sequencing, including a total of 179 samples collected from   overcome not only tumor heterogeneity but also dormancy. Patients with Multiple Myeloma of at least 18 years of age Principal Investigators: Niels Weinhold",Multiple Myeloma,Collection,WXS,"4 phenotype datasets, 16 variables, 179 samples sequenced, 25 subjects, 179 samples",NIGMS,GRU --- General Research Use
phs001819.v2.p1,Whole Genome Sequencing to Discover Familial Myeloma Risk Genes,"We identified germline KDM1A truncating mutations in patients with multiple myeloma (MM), and loss of heterozygosity (LOH) in tumors. KDM1A mutation burden is higher in sporadic MM patients than in  controls, and mRNA levels are lower in MM compared with normal plasma cells. KDM1A pharmacological inhibition in vitro promotes myeloma cell",Multiple Myeloma,Case Set,SNP Genotypes (NGS),"4 phenotype datasets, 15 variables, 1 molecular datasets, 39 subjects, 39 samples",NCI,"GRU --- General Research Use, DS-CA-MDS --- Disease-Specific (Cancer, MDS)"
phs002291.v1.p1,Whole Transcriptome Sequencing of Human Tumor Cells and Hematopoietic    Stem and Progenitor Cells During Aging and Bone Marrow Disorders,"Whole transcriptome sequencing analyses were performed on human hematopoietic stem and progenitor cells during aging and bone marrow disorders. For this purpose, normal and diseased bone marrow or peripheral blood-derived   syndrome (MDS), acute myeloid leukemia (AML) and plasma cell dyscrasias (e.g., multiple myeloma). Studies were also performed on total mononuclear cell",Multiple Myeloma,Case Set,RNA-Seq,"4 phenotype datasets, 19 variables, 10 samples sequenced, 5 subjects, 10 samples",NIDDK,GRU --- General Research Use
